a, COCA/CET/HS
breakdown, COCA/CET/TOEFL
breakfast, COCA/CET/HS
breakthrough, COCA/CET/HS/TOEFL
breast, COCA/CET/HS
breath, COCA/CET/HS
breathe, COCA/CET/HS
breed, GRE/COCA/CET/TOEFL
breeze, COCA/CET/TOEFL
brew, GRE/COCA/CET/TOEFL
brewery, COCA/CET/HS
bribe, GRE/COCA/CET
bribery, COCA/CET
brick, COCA/CET/HS
bride, COCA/CET/HS
bridegroom, CET/HS
bridge, COCA/CET/HS
brief, COCA/CET/HS/TOEFL
briefcase, COCA/CET
briefing, COCA/CET
brigade, COCA/CET
bright, COCA/CET/HS
brighten, COCA/CET/TOEFL
brilliant, COCA/CET/HS/TOEFL
brilliance, COCA/CET/TOEFL
bring, COCA/CET/HS
brink, GRE/COCA/CET/TOEFL
brisk, GRE/COCA/CET/TOEFL
broad, COCA/CET/HS
broaden, COCA/CET/TOEFL
breadth, GRE/COCA/CET
broadcast, COCA/CET/HS
brochure, HS/GRE/COCA/CET/TOEFL
broke, COCA/CET
broker, GRE/COCA/CET
bronze, COCA/CET/TOEFL
brood, GRE/COCA/CET
broom, COCA/CET/HS
brother, COCA/CET/HS
brow, COCA/CET
brown, COCA/CET/HS
browse, GRE/COCA/CET
browser, COCA/CET
bruise, GRE/COCA/CET/TOEFL
brunch, COCA/CET/HS
brush, COCA/CET/HS/TOEFL
brutal, GRE/COCA/CET/TOEFL
brutality, COCA/CET
bubble, GRE/COCA/CET/TOEFL
buck, GRE/COCA/CET/TOEFL
bucket, GRE/COCA/CET
buckle, GRE/COCA/CET/TOEFL
bud, GRE/COCA/CET/TOEFL
buddy, COCA/CET/TOEFL
buddhism, CET
buddhist, CET
budget, HS/GRE/COCA/CET/TOEFL
budgetary, COCA/CET
buffalo, COCA/CET/TOEFL
buffer, GRE/COCA/CET
buffet, GRE/COCA/CET/HS
bug, COCA/CET
build, COCA/CET/HS
building, COCA/CET/HS
bulb, GRE/COCA/CET/TOEFL
bulk, GRE/COCA/CET/TOEFL
bulky, COCA/CET/TOEFL
bull, COCA/CET
bullet, COCA/CET
bulletin, COCA/CET/TOEFL
bully, GRE/COCA/CET
bump, GRE/COCA/CET/TOEFL
bumper, COCA/CET
bunch, COCA/CET/HS
bundle, COCA/CET/TOEFL
burden, COCA/CET/HS
bureau, COCA/CET/TOEFL
bureaucrat, COCA/CET
burglar, COCA/CET/HS/TOEFL
burn, COCA/CET/HS
bureaucratic, COCA/CET/HS
burglary, COCA/CET
bureaucracy, GRE/COCA/CET
burst, COCA/CET
bury, COCA/CET/HS
bus, COCA/CET/HS
burial, GRE/COCA/CET
bush, COCA/CET/HS
business, COCA/CET/HS
bushy, COCA/CET
businessman, COCA/CET/HS
bust, GRE/COCA/CET
busy, COCA/CET/HS
but, COCA/CET/HS
butcher, COCA/CET/HS
butt, GRE/COCA/CET/TOEFL
butter, COCA/CET/HS/TOEFL
butterfly, COCA/CET/HS
button, COCA/CET/HS
buy, COCA/CET/HS
buzz, COCA/CET
buyer, COCA/CET
by, COCA/CET/HS
bypass, COCA/CET
bystander, GRE/COCA/CET
cab, COCA/CET/HS
cabbage, COCA/CET/HS
cabin, COCA/CET/TOEFL
cabinet, GRE/COCA/CET/TOEFL
cable, COCA/CET/TOEFL
cafe, COCA/CET
cafeteria, COCA/CET/HS/TOEFL
cage, COCA/CET/HS
cake, COCA/CET/HS
calcium, GRE/COCA/CET/TOEFL
calculate, COCA/CET/HS/TOEFL
calculation, COCA/CET
calculator, COCA/CET
calculating, GRE/CET
calendar, COCA/CET/TOEFL
calf, COCA/CET
call, COCA/CET/HS
calling, COCA/CET
calm, COCA/CET/HS
calorie, GRE/CET
camel, COCA/CET/HS
camera, COCA/CET/HS
camp, COCA/CET/HS
campaign, HS/GRE/COCA/CET/TOEFL
campus, COCA/CET
can, COCA/CET/HS
canal, COCA/CET
cancel, COCA/CET/HS/TOEFL
cancellation, COCA/CET
cancer, COCA/CET/HS
candidate, HS/GRE/COCA/CET/TOEFL
candidacy, GRE/COCA/CET
candle, COCA/CET/HS
candy, COCA/CET/HS
cane, GRE/COCA/CET
cannon, COCA/CET
canoe, COCA/CET
canteen, COCA/CET/HS
canvas, GRE/COCA/CET/TOEFL
cap, COCA/CET/HS
capable, COCA/CET/TOEFL
capability, COCA/CET/TOEFL
capacity, COCA/CET/TOEFL
cape, GRE/COCA/CET/TOEFL
capital, COCA/CET/HS
capitalist, COCA/CET
capitalism, COCA/CET
capsule, GRE/COCA/CET/HS
captain, COCA/CET/HS
caption, GRE/COCA/CET/HS
captive, COCA/CET/TOEFL
capture, GRE/COCA/CET
car, COCA/CET/HS
caravan, COCA/CET
carbohydrate, GRE/COCA/CET
carbon, COCA/CET/HS/TOEFL
card, COCA/CET/HS
cardboard, COCA/CET
cardinal, GRE/COCA/CET/TOEFL
care, COCA/CET/HS
careful, COCA/CET/HS
careless, COCA/CET/HS
career, COCA/CET/TOEFL
cargo, GRE/COCA/CET/TOEFL
carpenter, GRE/COCA/CET/HS
carpet, COCA/CET/HS
carriage, COCA/CET/HS
carrier, COCA/CET/HS
carrot, COCA/CET/HS
carry, COCA/CET/HS
cart, COCA/CET/TOEFL
carton, COCA/CET
cartoon, GRE/COCA/CET/HS
cartoonist, COCA/CET
carve, HS/GRE/COCA/CET/TOEFL
carving, COCA/CET
case, COCA/CET/HS
cash, COCA/CET/HS
cashier, COCA/CET
casino, COCA/CET
cast, HS/GRE/COCA/CET/TOEFL
castle, COCA/CET/HS
casual, HS/GRE/COCA/CET/TOEFL
casualty, GRE/COCA/CET/TOEFL
cat, COCA/CET/HS
catalog, GRE/COCA/CET/TOEFL
catalogue, COCA/CET/HS
catastrophe, HS/GRE/COCA/CET/TOEFL
catastrophic, COCA/CET
catch, COCA/CET/HS
category, HS/GRE/COCA/CET/TOEFL
cater, GRE/COCA/CET/HS
cathedral, GRE/COCA/CET/TOEFL
catholic, GRE/TOEFL/CET
cattle, COCA/CET/HS
cauliflower, COCA/CET
cause, COCA/CET/HS/TOEFL
caution, COCA/CET/HS
cautious, COCA/CET/HS/TOEFL
cave, COCA/CET/HS
cavity, GRE/COCA/CET/TOEFL
cease, COCA/CET/TOEFL
ceiling, COCA/CET/HS
celebrate, COCA/CET/HS/TOEFL
celebration, COCA/CET/HS
celebrity, GRE/COCA/CET/TOEFL
cell, HS/GRE/COCA/CET/TOEFL
cellar, GRE/COCA/CET
cell-phone, CET
celsius, CET
celcius, CET
cement, GRE/COCA/CET
cemetery, GRE/COCA/CET
censor, GRE/COCA/CET/TOEFL
censorship, COCA/CET
census, GRE/COCA/CET/TOEFL
cent, CET/HS
center, COCA/CET/HS
centre, CET/HS
central, COCA/CET/HS
centralize, COCA/CET
centralise, CET
centigrade, GRE/TOEFL/CET/HS
centimeter, COCA/CET/HS
centimetre, CET/HS
century, COCA/CET/HS
ceramic, GRE/COCA/CET/TOEFL
cereal, GRE/COCA/CET/TOEFL
ceremony, HS/GRE/COCA/CET/TOEFL
ceremonial, COCA/CET/TOEFL
certain, COCA/CET/HS
certainly, COCA/CET
certainty, GRE/COCA/CET
certificate, COCA/CET/HS/TOEFL
certify, COCA/CET
certification, GRE/COCA/CET
chain, COCA/CET/HS
chair, COCA/CET/HS
chairman, COCA/CET/HS
chairperson, COCA/CET
chalk, COCA/CET/HS/TOEFL
challenge, COCA/CET/HS
challenging, COCA/CET/HS
chamber, COCA/CET/TOEFL
champagne, COCA/CET
champion, HS/GRE/COCA/CET/TOEFL
championship, GRE/COCA/CET/TOEFL
chance, COCA/CET/HS
chancellor, GRE/COCA/CET
change, COCA/CET/HS
channel, COCA/CET/HS/TOEFL
chant, GRE/COCA/CET/HS
chaos, HS/GRE/COCA/CET/TOEFL
chaotic, COCA/CET
chapel, GRE/COCA/CET/TOEFL
chapter, COCA/CET/HS
character, COCA/CET/HS/TOEFL
characteristic, HS/GRE/COCA/CET/TOEFL
characterize, GRE/COCA/CET/TOEFL
characterise, CET
charge, COCA/CET/HS/TOEFL
charity, GRE/COCA/CET/TOEFL
charitable, GRE/COCA/CET/TOEFL
charm, GRE/COCA/CET
charming, COCA/CET
chart, COCA/CET/HS/TOEFL
charter, GRE/COCA/CET/TOEFL
chase, GRE/COCA/CET
chat, COCA/CET/HS/TOEFL
cheap, COCA/CET/HS
cheat, COCA/CET/HS
check, HS/GRE/COCA/CET/TOEFL
cheque, CET/HS
cheek, COCA/CET/HS
cheer, COCA/CET/HS
cheerful, COCA/CET/HS
cheese, COCA/CET/HS
chef, GRE/COCA/CET/HS
chemistry, COCA/CET/HS
chemical, COCA/CET/HS
chemist, COCA/CET/HS
cherish, COCA/CET/TOEFL
chess, COCA/CET/HS
chest, COCA/CET/HS
chew, COCA/CET/HS
chicken, COCA/CET/HS
chief, COCA/CET/HS/TOEFL
child, COCA/CET/HS
childish, COCA/CET
chill, COCA/CET/TOEFL
chilly, COCA/CET/TOEFL
chimney, COCA/CET
chin, COCA/CET
china, COCA/CET
chip, GRE/COCA/CET/TOEFL
chocolate, COCA/CET/HS
choice, HS/GRE/COCA/CET/TOEFL
choir, HS/GRE/COCA/CET/TOEFL
choke, HS/GRE/COCA/CET/TOEFL
cholesterol, COCA/CET/TOEFL
choose, COCA/CET/HS/TOEFL
choosy, CET
chop, COCA/CET/TOEFL
chopstick, CET
chord, GRE/COCA/CET
chore, GRE/COCA/CET/TOEFL
chorus, HS/GRE/COCA/CET/TOEFL
christ, CET
christmas, CET
christian, CET
christianity, CET
chronic, GRE/COCA/CET/TOEFL
chronically, COCA/CET
chronicle, COCA/CET
chunk, GRE/COCA/CET
church, COCA/CET/HS
cigar, COCA/CET/HS
cigaret, CET
cigarette, COCA/CET/HS
cinema, COCA/CET/HS
circle, COCA/CET/HS
circular, GRE/COCA/CET/TOEFL
circuit, HS/GRE/COCA/CET/TOEFL
circulate, HS/GRE/COCA/CET/TOEFL
circulation, GRE/COCA/CET/TOEFL
circumstance, COCA/CET/HS/TOEFL
circus, COCA/CET
cite, GRE/COCA/CET/TOEFL
citizen, COCA/CET/HS
citation, GRE/COCA/CET
citizenship, COCA/CET
city, COCA/CET/HS
civic, COCA/CET
civil, GRE/COCA/CET/HS
civilize, CET
civilise, CET
civilization, COCA/CET/HS
civilisation, CET
civilian, HS/GRE/COCA/CET/TOEFL
claim, GRE/COCA/CET/TOEFL
clamp, GRE/COCA/CET/TOEFL
clan, COCA/CET
clap, COCA/CET/HS
clarity, GRE/COCA/CET
clarify, HS/GRE/COCA/CET/TOEFL
clarification, COCA/CET
clash, GRE/COCA/CET
clasp, GRE/COCA/CET
class, COCA/CET/HS
classic, COCA/CET/HS/TOEFL
classical, COCA/CET
classify, HS/GRE/COCA/CET/TOEFL
classification, COCA/CET
classified, COCA/CET
classmate, COCA/CET/HS
classroom, COCA/CET/HS
clause, GRE/COCA/CET/TOEFL
claw, COCA/CET/HS
clay, HS/GRE/COCA/CET/TOEFL
clean, COCA/CET/HS/TOEFL
cleanse, COCA/CET/TOEFL
clear, COCA/CET/HS
clearly, COCA/CET
clearance, COCA/CET
clear-cut, COCA/CET
clearing, COCA/CET
clench, GRE/COCA/CET
clergy, COCA/CET/TOEFL
clerk, COCA/CET/HS
clerical, COCA/CET
clever, COCA/CET/HS
cliché, GRE/CET
click, COCA/CET/HS
client, COCA/CET/TOEFL
cliff, COCA/CET/TOEFL
climate, COCA/CET/HS/TOEFL
climatic, COCA/CET
climax, GRE/COCA/CET/TOEFL
climb, COCA/CET/HS
cling, GRE/COCA/CET/TOEFL
clinic, COCA/CET/HS/TOEFL
clinical, GRE/COCA/CET
clip, GRE/COCA/CET/TOEFL
cloak, COCA/CET
clock, COCA/CET/HS
clockwise, COCA/CET
clog, GRE/COCA/CET/TOEFL
clone, COCA/CET/HS
close, COCA/CET/HS/TOEFL
closet, GRE/COCA/CET/TOEFL
cloth, COCA/CET/HS
clothe, COCA/CET
clothes, COCA/CET/HS
clothing, COCA/CET/HS/TOEFL
cloud, COCA/CET/HS
clown, GRE/COCA/CET
cloudy, COCA/CET/HS
club, COCA/CET/HS
clue, COCA/CET/TOEFL
clumsy, HS/GRE/COCA/CET/TOEFL
cluster, GRE/COCA/CET/TOEFL
clutch, COCA/CET/TOEFL
coach, COCA/CET/HS
coal, COCA/CET/HS
coalition, GRE/COCA/CET
coarse, GRE/COCA/CET/TOEFL
coast, COCA/CET/HS
coastal, COCA/CET
coat, GRE/COCA/CET/HS
cocaine, COCA/CET
cock, COCA/CET
cockpit, COCA/CET
cocktail, COCA/CET
coconut, COCA/CET
code, GRE/COCA/CET/TOEFL
coexist, TOEFL/CET
coexistence, CET
coffee, COCA/CET/HS
cognitive, COCA/CET
coherent, GRE/COCA/CET/TOEFL
cognition, COCA/CET/TOEFL
coherence, COCA/CET
cohesion, GRE/COCA/CET/TOEFL
cohesive, GRE/COCA/CET/TOEFL
coil, COCA/CET/TOEFL
coin, COCA/CET/HS/TOEFL
coincide, GRE/COCA/CET/TOEFL
coinage, CET
coincidence, COCA/CET/HS
cold, COCA/CET/HS
collaborate, GRE/COCA/CET/TOEFL
collaboration, COCA/CET
collaborative, COCA/CET
collapse, GRE/COCA/CET/TOEFL
collar, GRE/COCA/CET/HS
colleague, COCA/CET/HS
collect, COCA/CET/HS/TOEFL
collection, GRE/COCA/CET/HS
collective, COCA/CET
college, COCA/CET/HS
collide, COCA/CET/TOEFL
collision, GRE/COCA/CET/HS
colon, GRE/COCA/CET
semi-colon, CET
colonel, COCA/CET
colony, GRE/COCA/CET/TOEFL
color, COCA/CET/HS
colour, CET/HS
colonial, COCA/CET
colorful, COCA/CET
colourful, CET
colonialism, COCA/CET
colonize, GRE/COCA/CET/TOEFL
colonise, CET
column, COCA/CET/TOEFL
columnist, GRE/COCA/CET
comb, COCA/CET/HS
combat, GRE/COCA/CET/TOEFL
combative, COCA/CET
combine, COCA/CET/HS/TOEFL
combination, COCA/CET/TOEFL
come, COCA/CET/HS
comedy, COCA/CET/HS/TOEFL
comet, COCA/CET/TOEFL
comfort, COCA/CET/HS
comfortable, COCA/CET/HS
comic, GRE/COCA/CET/TOEFL
comma, GRE/COCA/CET
command, COCA/CET/HS/TOEFL
commander, COCA/CET/TOEFL
commemorate, GRE/COCA/CET/TOEFL
commemoration, COCA/CET
commence, GRE/COCA/CET/TOEFL
commencement, GRE/COCA/CET
commend, COCA/CET/TOEFL
commendation, CET
comment, COCA/CET/HS/TOEFL
commerce, COCA/CET/TOEFL
commission, GRE/COCA/CET/TOEFL
commentary, GRE/COCA/CET/TOEFL
commercial, COCA/CET/HS
commentator, COCA/CET/TOEFL
commercialize, COCA/CET
commercialise, CET
commit, HS/GRE/COCA/CET/TOEFL
commitment, COCA/CET/HS/TOEFL
committee, COCA/CET/HS/TOEFL
commodity, GRE/COCA/CET/TOEFL
common, COCA/CET/HS
commonplace, GRE/COCA/CET
commonwealth, GRE/COCA/CET
communicate, HS/GRE/COCA/CET/TOEFL
communication, COCA/CET/HS
communicative, COCA/CET
commune, GRE/COCA/CET
communist, COCA/CET/HS
communism, COCA/CET/HS
community, COCA/CET/TOEFL
commute, GRE/COCA/CET/TOEFL
commuter, COCA/CET
compact, GRE/COCA/CET/TOEFL
companion, HS/GRE/COCA/CET/TOEFL
companionship, COCA/CET
company, COCA/CET/HS/TOEFL
compare, COCA/CET/HS/TOEFL
comparison, GRE/COCA/CET/TOEFL
comparative, COCA/CET/TOEFL
comparable, COCA/CET/TOEFL
compartment, GRE/COCA/CET
compass, HS/GRE/COCA/CET/TOEFL
compassion, GRE/COCA/CET/TOEFL
compassionate, GRE/COCA/CET
compatible, GRE/COCA/CET/TOEFL
compatibility, COCA/CET
compel, GRE/COCA/CET/TOEFL
compelling, GRE/COCA/CET
compensate, HS/GRE/COCA/CET/TOEFL
compensation, COCA/CET/TOEFL
compensatory, GRE/COCA/CET
compete, HS/GRE/COCA/CET/TOEFL
competition, COCA/CET/HS
competitive, COCA/CET
competitor, COCA/CET
competent, COCA/CET/TOEFL
competence, HS/GRE/COCA/CET/TOEFL
compile, GRE/COCA/CET/TOEFL
compilation, COCA/CET
complacent, GRE/COCA/CET
complacency, GRE/COCA/CET
complain, COCA/CET
complaint, COCA/CET/TOEFL
complement, COCA/CET/TOEFL
complementary, GRE/COCA/CET/TOEFL
complete, COCA/CET/HS/TOEFL
completion, COCA/CET/TOEFL
complex, COCA/CET/HS/TOEFL
complexity, COCA/CET
complexion, GRE/COCA/CET
complicate, GRE/COCA/CET/TOEFL
complicated, COCA/CET/TOEFL
complication, COCA/CET
compliment, GRE/COCA/CET/TOEFL
complimentary, COCA/CET/TOEFL
comply, GRE/COCA/CET/TOEFL
compliance, GRE/COCA/CET
component, HS/GRE/COCA/CET/TOEFL
compose, GRE/COCA/CET/TOEFL
composition, COCA/CET/HS/TOEFL
composer, GRE/COCA/CET
composite, COCA/CET
compound, GRE/COCA/CET/TOEFL
comprehend, GRE/COCA/CET/TOEFL
comprehension, COCA/CET/HS
comprehensive, GRE/COCA/CET/TOEFL
compress, GRE/COCA/CET/TOEFL
compression, COCA/CET
comprise, COCA/CET/TOEFL
compromise, HS/GRE/COCA/CET/TOEFL
compulsory, HS/GRE/COCA/CET/TOEFL
compute, COCA/CET
computer, COCA/CET/HS
computerize, CET
computerise, CET
computation, COCA/CET
comrade, COCA/CET
conceal, GRE/COCA/CET/TOEFL
concealment, COCA/CET
concede, GRE/COCA/CET/TOEFL
concession, GRE/COCA/CET/TOEFL
conceit, GRE/COCA/CET/TOEFL
conceited, CET
conceive, GRE/COCA/CET/TOEFL
conception, GRE/COCA/CET
concentrate, GRE/COCA/CET/HS
concentration, COCA/CET/TOEFL
concept, COCA/CET/HS/TOEFL
conceptual, COCA/CET
concern, COCA/CET/HS
concerned, COCA/CET/TOEFL
concerning, COCA/CET
concert, COCA/CET/HS/TOEFL
concerted, COCA/CET/TOEFL
concise, GRE/COCA/CET/TOEFL
conclude, COCA/CET/HS/TOEFL
conclusion, COCA/CET/HS
conclusive, GRE/COCA/CET/TOEFL
concrete, HS/GRE/COCA/CET/TOEFL
concurrent, COCA/CET/TOEFL
condemn, HS/GRE/COCA/CET/TOEFL
condemnation, COCA/CET
condense, GRE/COCA/CET/TOEFL
condensation, COCA/CET/TOEFL
condition, COCA/CET/HS/TOEFL
conditional, COCA/CET
conditioner, COCA/CET
condolence, COCA/CET
conducive, GRE/COCA/CET
conduct, HS/GRE/COCA/CET/TOEFL
confederation, COCA/CET
confer, GRE/COCA/CET/TOEFL
conference, HS/GRE/COCA/CET/TOEFL
confess, GRE/COCA/CET/TOEFL
confide, GRE/COCA/CET/TOEFL
confidence, GRE/COCA/CET/TOEFL
configuration, GRE/COCA/CET/TOEFL
conductor, COCA/CET/HS/TOEFL
confederate, TOEFL/CET
confession, COCA/CET/TOEFL
confident, COCA/CET/HS/TOEFL
confidential, HS/GRE/COCA/CET/TOEFL
confine, GRE/COCA/CET/TOEFL
confinement, COCA/CET
confirm, HS/GRE/COCA/CET/TOEFL
confirmation, COCA/CET
conflict, HS/GRE/COCA/CET/TOEFL
conform, GRE/COCA/CET/TOEFL
conformity, GRE/COCA/CET
confront, GRE/COCA/CET/TOEFL
confrontation, COCA/CET
confucian, CET
confucianism, CET
confuse, COCA/CET/HS
confusion, COCA/CET
congratulate, COCA/CET/HS
congratulation, CET/HS
congratulatory, CET
congregate, GRE/COCA/CET/TOEFL
congregation, COCA/CET
congress, TOEFL/CET
congressional, COCA/CET
conjunction, GRE/COCA/CET
connect, COCA/CET/HS
connection, COCA/CET/HS
connexion, CET
connotation, GRE/COCA/CET
conquer, GRE/COCA/CET
conqueror, COCA/CET
conquest, GRE/COCA/CET
conscience, HS/GRE/COCA/CET/TOEFL
conscientious, GRE/COCA/CET/TOEFL
conscious, COCA/CET/TOEFL
consciousness, COCA/CET
consecutive, COCA/CET/TOEFL
consensus, HS/GRE/COCA/CET/TOEFL
consent, GRE/COCA/CET/TOEFL
consequence, HS/GRE/COCA/CET/TOEFL
consequent, COCA/CET
consequently, COCA/CET/TOEFL
conservative, HS/GRE/COCA/CET/TOEFL
conserve, GRE/COCA/CET/TOEFL
conservation, COCA/CET/HS/TOEFL
consider, COCA/CET/HS/TOEFL
consideration, COCA/CET/HS
considering, COCA/CET
considerable, GRE/COCA/CET/TOEFL
considerate, COCA/CET/HS/TOEFL
consist, COCA/CET/HS
consistent, HS/GRE/COCA/CET/TOEFL
consistency, GRE/COCA/CET
console, GRE/COCA/CET/TOEFL
consolation, COCA/CET
consolidate, GRE/COCA/CET/TOEFL
consolidation, GRE/COCA/CET
conspicuous, GRE/COCA/CET/TOEFL
conspire, GRE/COCA/CET/TOEFL
conspiracy, GRE/COCA/CET/TOEFL
constant, HS/GRE/COCA/CET/TOEFL
constituent, GRE/COCA/CET/TOEFL
constituency, COCA/CET
constitute, GRE/COCA/CET/TOEFL
constitution, HS/GRE/COCA/CET/TOEFL
constitutional, GRE/COCA/CET
constrain, GRE/COCA/CET/TOEFL
constraint, GRE/COCA/CET
construct, HS/GRE/COCA/CET/TOEFL
construction, COCA/CET/HS
consulate, COCA/CET
consul, GRE/COCA/CET
consult, COCA/CET/HS/TOEFL
consultation, COCA/CET
consultative, COCA/CET
consultant, COCA/CET/HS
consume, COCA/CET/HS/TOEFL
consumer, COCA/CET/TOEFL
consumption, COCA/CET/TOEFL
contact, GRE/COCA/CET
contagious, GRE/COCA/CET/TOEFL
contain, HS/GRE/COCA/CET/TOEFL
container, COCA/CET/HS/TOEFL
containment, GRE/COCA/CET
contaminate, GRE/COCA/CET/TOEFL
contamination, COCA/CET
contemplate, GRE/COCA/CET/TOEFL
contemplation, COCA/CET
contemplative, COCA/CET
contemporary, COCA/CET/HS/TOEFL
contempt, GRE/COCA/CET
contemptible, GRE/TOEFL/CET
contend, GRE/COCA/CET/TOEFL
contention, GRE/COCA/CET
contentious, GRE/COCA/CET
content, HS/GRE/COCA/CET/TOEFL
contented, GRE/COCA/CET
contest, GRE/COCA/CET/TOEFL
contestant, COCA/CET
context, GRE/COCA/CET/TOEFL
contextual, COCA/CET
continent, HS/GRE/COCA/CET/TOEFL
continental, COCA/CET
contingent, GRE/COCA/CET/TOEFL
continue, COCA/CET/HS
contract, GRE/COCA/CET/TOEFL
continuation, GRE/COCA/CET/TOEFL
contractor, COCA/CET
continual, COCA/CET
continuous, COCA/CET
continuity, COCA/CET/TOEFL
contraction, COCA/CET
contradict, HS/GRE/COCA/CET/TOEFL
contradiction, COCA/CET
contradictory, GRE/COCA/CET/HS
contrary, COCA/CET/HS
contrast, GRE/COCA/CET/TOEFL
contribute, COCA/CET/HS/TOEFL
contribution, COCA/CET/HS
contributor, COCA/CET
contrive, GRE/COCA/CET/TOEFL
control, GRE/COCA/CET/HS
controversy, COCA/CET/TOEFL
controversial, HS/GRE/COCA/CET/TOEFL
convene, GRE/COCA/CET/TOEFL
convenient, COCA/CET/HS/TOEFL
convenience, HS/GRE/COCA/CET/TOEFL
convention, COCA/CET/TOEFL
conventional, HS/GRE/COCA/CET/TOEFL
converge, GRE/COCA/CET/TOEFL
converse, GRE/COCA/CET/TOEFL
convergence, COCA/CET
conversation, COCA/CET/HS/TOEFL
convert, GRE/COCA/CET/TOEFL
conversion, COCA/CET
convertible, GRE/COCA/CET
convey, HS/GRE/COCA/CET/TOEFL
conveyance, CET
convict, GRE/COCA/CET/TOEFL
conviction, GRE/COCA/CET
convince, HS/GRE/COCA/CET/TOEFL
convoy, GRE/COCA/CET/TOEFL
cook, COCA/CET/HS
convincing, COCA/CET
cooker, COCA/CET/HS
cookie, COCA/CET/HS
cool, COCA/CET/HS
cooperate, GRE/COCA/CET
cooperation, COCA/CET/TOEFL
cooperative, GRE/COCA/CET/TOEFL
coordinate, GRE/COCA/CET/TOEFL
coordination, COCA/CET
coordinator, COCA/CET
cop, COCA/CET
cope, COCA/CET
copper, COCA/CET/TOEFL
copy, COCA/CET/HS/TOEFL
copyright, COCA/CET
coral, COCA/CET/TOEFL
cord, GRE/COCA/CET
cordial, GRE/COCA/CET/TOEFL
cordiality, CET
core, GRE/COCA/CET
cork, COCA/CET
corn, COCA/CET/HS
corner, COCA/CET/HS
cornerstone, COCA/CET
corporal, GRE/COCA/CET
corporation, COCA/CET/HS
corporate, GRE/COCA/CET/TOEFL
corps, COCA/CET/TOEFL
corpse, COCA/CET/TOEFL
correct, COCA/CET/HS/TOEFL
correction, COCA/CET/HS
corrective, COCA/CET
correlate, COCA/CET/TOEFL
correlation, COCA/CET
correlative, CET
correspond, COCA/CET/HS/TOEFL
correspondence, COCA/CET/TOEFL
correspondent, GRE/COCA/CET
corresponding, COCA/CET
corridor, COCA/CET
corrode, GRE/TOEFL/CET
corrosion, COCA/CET/TOEFL
corrupt, GRE/COCA/CET/HS
corruption, COCA/CET
cosmetic, COCA/CET
cosmopolitan, GRE/COCA/CET/TOEFL
cosmos, GRE/COCA/CET/TOEFL
cosmic, GRE/COCA/CET/TOEFL
cost, COCA/CET/HS
costly, COCA/CET
costume, GRE/COCA/CET/TOEFL
cottage, COCA/CET/HS
cotton, COCA/CET/HS
couch, COCA/CET
cough, COCA/CET/HS
could, COCA/CET/HS
council, COCA/CET
councilor, CET
councillor, CET
counsel, COCA/CET/TOEFL
counselor, COCA/CET/TOEFL
counsellor, CET
count, COCA/CET/HS
countdown, COCA/CET
counter, COCA/CET/HS
counteract, GRE/COCA/CET/TOEFL
counterfeit, GRE/COCA/CET/TOEFL
counterpart, GRE/COCA/CET/TOEFL
counteraction, CET
country, COCA/CET/HS
countryside, COCA/CET/HS
county, COCA/CET
coup, GRE/COCA/CET
coup d'état, CET
couple, COCA/CET/HS
coupon, COCA/CET/TOEFL
courage, COCA/CET/HS
courageous, COCA/CET
course, COCA/CET/HS
court, HS/GRE/COCA/CET/TOEFL
courtesy, COCA/CET
courtyard, COCA/CET/HS
cousin, COCA/CET/HS
cover, COCA/CET/HS/TOEFL
coverage, COCA/CET
cow, GRE/COCA/CET/HS
coward, GRE/COCA/CET
cowardly, COCA/CET
cowardice, COCA/CET
cowboy, COCA/CET
cozy, COCA/CET/HS/TOEFL
cosy, CET/HS
crab, GRE/COCA/CET/TOEFL
crack, GRE/COCA/CET/TOEFL
crackdown, COCA/CET
cracker, COCA/CET
cradle, COCA/CET
craft, GRE/COCA/CET/TOEFL
cram, GRE/COCA/CET/TOEFL
crane, COCA/CET
crash, COCA/CET/HS/TOEFL
crate, GRE/COCA/CET
crave, COCA/CET/TOEFL
crawl, COCA/CET/TOEFL
crazy, COCA/CET/HS/TOEFL
craze, COCA/CET
cream, COCA/CET/HS
creamy, COCA/CET
create, COCA/CET/HS
creation, COCA/CET
creative, COCA/CET
creator, COCA/CET
creature, COCA/CET/HS
credential, COCA/CET/TOEFL
credible, GRE/COCA/CET
credibility, COCA/CET
credit, HS/GRE/COCA/CET/TOEFL
creditable, CET
creep, GRE/COCA/CET
crew, COCA/CET/HS/TOEFL
cricket, COCA/CET
crime, COCA/CET/HS
criminal, COCA/CET/HS
cripple, GRE/COCA/CET
crisis, COCA/CET
crisp, COCA/CET/TOEFL
criterion, GRE/TOEFL/CET/HS
criticize, COCA/CET
criticise, CET
criticism, COCA/CET
critic, GRE/COCA/CET/TOEFL
critical, GRE/COCA/CET/TOEFL
crocodile, COCA/CET
crop, COCA/CET/HS
cross, GRE/COCA/CET/HS
crossing, COCA/CET/HS
crouch, GRE/COCA/CET
crow, COCA/CET/TOEFL
crowd, COCA/CET/HS
crowded, COCA/CET
crown, GRE/COCA/CET/TOEFL
crucial, GRE/COCA/CET/TOEFL
crude, COCA/CET/TOEFL
cruel, COCA/CET/HS
cruelty, COCA/CET
cruise, COCA/CET
cruiser, COCA/CET
crumble, GRE/COCA/CET/TOEFL
